slug,url,business_name,address,phone,email,website,services,location,description,extraction_method,raw_data,extracted_at
od74i,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/od74i,,,,,,,,,,,2025-06-20T13:10:20.919707
yc92e,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/yc92e,,,,,,,,,,,2025-06-20T13:10:20.919573
cp94s,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/cp94s,,,,,,,,,,,2025-06-20T13:10:20.919926
yw24w,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/yw24w,,,,,,,,,,,2025-06-20T13:10:24.024659
yh04s,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/yh04s,,,,,,,,,,,2025-06-20T13:10:24.128576
cm42y,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/cm42y,,,,,,,,,,,2025-06-20T13:10:24.125911
md10i,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/md10i,,,,,,,,,,,2025-06-20T13:10:26.372582
zq34m,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/zq34m,,,,,,,,,,,2025-06-20T13:10:26.488335
yd20m,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/yd20m,,,,,,,,,,,2025-06-20T13:10:26.488650
sp29k,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/sp29k,,,,,,,,,,,2025-06-20T13:10:28.746725
hd53o,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/hd53o,,,,,,,,,,,2025-06-20T13:10:28.838275
ek22b,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ek22b,,,,,,,,,,,2025-06-20T13:10:28.839242
od04m,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/od04m,,,,,,,,,,,2025-06-20T13:10:31.089952
fu73w,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/fu73w,,,,,,,,,,,2025-06-20T13:10:31.202075
yr37m,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/yr37m,,,,,,,,,,,2025-06-20T13:10:31.202385
zo24s,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/zo24s,,,,,,,,,,,2025-06-20T13:10:33.452882
bo40s,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/bo40s,,,,,,,,,,,2025-06-20T13:10:34.000466
az97l,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/az97l,,,,,,,,,,,2025-06-20T13:10:34.003104
xn76q,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/xn76q,,,,,,,,,,,2025-06-20T13:10:35.827241
bt21u,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/bt21u,,,,,,,,,,,2025-06-20T13:10:36.379264
zd22z,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/zd22z,,,,,,,,,,,2025-06-20T13:10:48.743857
bj21f,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/bj21f,,,,,,,,,,,2025-06-20T13:10:48.742966
hn34w,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/hn34w,,,,,,,,,,,2025-06-20T13:10:48.744987
qm40f,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/qm40f,,,,,,,,,,,2025-06-20T13:10:51.109810
ob96u,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ob96u,,,,,,,,,,,2025-06-20T13:10:51.115483
ds24m,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ds24m,,,,,,,,,,,2025-06-20T13:10:51.109464
ah41a,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ah41a,,,,,,,,,,,2025-06-20T13:10:53.523537
ap24l,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ap24l,,,,,,,,,,,2025-06-20T13:10:53.520793
pd10j,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/pd10j,,,,,,,,,,,2025-06-20T13:10:53.519716
ba22b,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ba22b,,,,,,,,,,,2025-06-20T13:10:55.879116
lc44m,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/lc44m,,,,,,,,,,,2025-06-20T13:10:55.879377
yp99l,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/yp99l,,,,,,,,,,,2025-06-20T13:10:55.875593
ys53r,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ys53r,,,,,,,,,,,2025-06-20T13:10:58.261097
ad49t,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ad49t,,,,,,,,,,,2025-06-20T13:10:58.261475
ts20k,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ts20k,,,,,,,,,,,2025-06-20T13:10:58.269721
qd90t,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/qd90t,,,,,,,,,,,2025-06-20T13:11:00.655596
qs46l,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/qs46l,,,,,,,,,,,2025-06-20T13:11:00.653991
lx39o,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/lx39o,,,,,,,,,,,2025-06-20T13:11:00.646081
ie72w,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ie72w,,,,,,,,,,,2025-06-20T13:11:03.005264
tu30x,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/tu30x,,,,,,,,,,,2025-06-20T13:11:03.003642
ap12l,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ap12l,,,,,,,,,,,2025-06-20T13:11:15.395611
ap93l,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ap93l,,,,,,,,,,,2025-06-20T13:11:15.394638
ta10c,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ta10c,,,,,,,,,,,2025-06-20T13:11:15.392885
ej48u,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ej48u,,,,,,,,,,,2025-06-20T13:11:17.778686
ys92q,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ys92q,,,,,,,,,,,2025-06-20T13:11:17.776103
xd36a,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/xd36a,,,,,,,,,,,2025-06-20T13:11:17.777648
bb49m,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/bb49m,,,,,,,,,,,2025-06-20T13:11:20.184709
fb37i,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/fb37i,,,,,,,,,,,2025-06-20T13:11:20.183724
ji39e,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ji39e,,,,,,,,,,,2025-06-20T13:11:20.187310
ba29u,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ba29u,,,,,,,,,,,2025-06-20T13:11:22.509434
jm09a,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/jm09a,,,,,,,,,,,2025-06-20T13:11:22.556239
od46y,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/od46y,,,,,,,,,,,2025-06-20T13:11:22.558877
ao09l,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ao09l,,,,,,,,,,,2025-06-20T13:11:24.854633
cm72x,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/cm72x,,,,,,,,,,,2025-06-20T13:11:24.906908
ph06f,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ph06f,,,,,,,,,,,2025-06-20T13:11:24.906116
wb02l,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/wb02l,,,,,,,,,,,2025-06-20T13:11:27.216967
an32l,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/an32l,,,,,,,,,,,2025-06-20T13:11:27.299364
ki38l,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ki38l,,,,,,,,,,,2025-06-20T13:11:27.301436
li75b,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/li75b,,,,,,,,,,,2025-06-20T13:11:29.578234
ao30j,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ao30j,,,,,,,,,,,2025-06-20T13:11:29.647946
qb22i,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/qb22i,,,,,,,,,,,2025-06-20T13:11:42.049611
zm10l,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/zm10l,,,,,,,,,,,2025-06-20T13:11:42.050261
ld19e,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ld19e,,,,,,,,,,,2025-06-20T13:11:42.052421
fu42w,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/fu42w,,,,,,,,,,,2025-06-20T13:11:44.511292
zs39u,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/zs39u,,,,,,,,,,,2025-06-20T13:11:44.513121
no52l,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/no52l,,,,,,,,,,,2025-06-20T13:11:44.508293
rn11f,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/rn11f,,,,,,,,,,,2025-06-20T13:11:46.879261
lm70z,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/lm70z,,,,,,,,,,,2025-06-20T13:11:46.882244
uv34g,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/uv34g,,,,,,,,,,,2025-06-20T13:11:46.879553
kp91y,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/kp91y,,,,,,,,,,,2025-06-20T13:11:49.261138
yh71m,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/yh71m,,,,,,,,,,,2025-06-20T13:11:49.260201
zx42l,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/zx42l,,,,,,,,,,,2025-06-20T13:11:49.258946
fi23p,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/fi23p,,,,,,,,,,,2025-06-20T13:11:51.644507
tj54k,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/tj54k,,,,,,,,,,,2025-06-20T13:11:51.644944
yr29t,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/yr29t,,,,,,,,,,,2025-06-20T13:11:51.640460
au00k,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/au00k,,,,,,,,,,,2025-06-20T13:11:54.007440
th24m,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/th24m,,,,,,,,,,,2025-06-20T13:11:54.002333
oe22j,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/oe22j,,,,,,,,,,,2025-06-20T13:11:54.008688
sb22a,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/sb22a,,,,,,,,,,,2025-06-20T13:11:56.387399
rs90w,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/rs90w,,,,,,,,,,,2025-06-20T13:11:56.388650
se21u,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/se21u,,,,,,,,,,,2025-06-20T13:12:08.774309
md23r,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/md23r,,,,,,,,,,,2025-06-20T13:12:08.774994
wh04f,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/wh04f,,,,,,,,,,,2025-06-20T13:12:08.776463
bx73l,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/bx73l,,,,,,,,,,,2025-06-20T13:12:11.140448
ac19z,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ac19z,,,,,,,,,,,2025-06-20T13:12:11.141796
bq77s,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/bq77s,,,,,,,,,,,2025-06-20T13:12:11.140626
qm61l,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/qm61l,,,,,,,,,,,2025-06-20T13:12:13.504013
zp06q,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/zp06q,,,,,,,,,,,2025-06-20T13:12:13.506977
oc21f,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/oc21f,,,,,,,,,,,2025-06-20T13:12:13.504812
mj23y,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/mj23y,,,,,,,,,,,2025-06-20T13:12:15.878388
bg92b,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/bg92b,,,,,,,,,,,2025-06-20T13:12:15.875392
pb70u,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/pb70u,,,,,,,,,,,2025-06-20T13:12:15.876978
ap39b,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ap39b,,,,,,,,,,,2025-06-20T13:12:18.233193
lp57s,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/lp57s,,,,,,,,,,,2025-06-20T13:12:18.246623
zh29s,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/zh29s,,,,,,,,,,,2025-06-20T13:12:18.248629
mu39k,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/mu39k,,,,,,,,,,,2025-06-20T13:12:20.589540
tb54h,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/tb54h,,,,,,,,,,,2025-06-20T13:12:20.576757
yh47e,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/yh47e,,,,,,,,,,,2025-06-20T13:12:20.587812
sh25y,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/sh25y,,,,,,,,,,,2025-06-20T13:12:22.940076
mm31o,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/mm31o,,,,,,,,,,,2025-06-20T13:12:22.941743
